"Depth_m","Comparison","Mixed_pvalue","Stratified_pvalue"
1,"Daily - Fortnightly",4.44510952877491e-05,5.70263637250522e-06
1,"Daily - Monthly",3.83758204275474e-09,1.5449471828006e-14
1,"Fortnightly - Monthly",0.148183969299063,0.00466520747316876
1,"Daily - Weekly",0.48170987232417,0.00146182517930027
1,"Fortnightly - Weekly",0.000670781917425338,0.16818979092407
1,"Monthly - Weekly",2.16549552323582e-07,3.90632336674718e-05
5,"Daily - Fortnightly",2.30216426294331e-06,1.17703364415654e-18
5,"Daily - Monthly",1.97819642879566e-12,8.30074995772085e-47
5,"Fortnightly - Monthly",0.0449283195814072,1.01673725621168e-07
5,"Daily - Weekly",0.216681699166021,4.04375403726049e-06
5,"Fortnightly - Weekly",0.000501954127681204,2.4471887757198e-05
5,"Monthly - Weekly",7.4116243043549e-09,1.02117123201888e-21
9,"Daily - Fortnightly",6.1502524095404e-07,3.173237130082e-19
9,"Daily - Monthly",3.18115927969759e-12,9.32808073613689e-74
9,"Fortnightly - Monthly",0.0978318927424453,1.68063579718609e-19
9,"Daily - Weekly",0.139223310935584,2.75733536096357e-32
9,"Fortnightly - Weekly",0.000491090441573347,0.0039677383735822
9,"Monthly - Weekly",4.77205966525242e-08,5.8746741921897e-10
