"Depth_m","model_id","Horizon_days","TempDynamics","RMSE_C"
1,"Daily",1,"Mixed",0.0111052509009959
1,"Daily",7,"Mixed",1.11101957540259
1,"Daily",35,"Mixed",2.86519131175689
1,"Weekly",1,"Mixed",0.526150499221329
1,"Weekly",7,"Mixed",0.971842198609066
1,"Weekly",35,"Mixed",2.22099495120727
1,"Fortnightly",1,"Mixed",0.763143344472888
1,"Fortnightly",7,"Mixed",1.20782908033542
1,"Fortnightly",35,"Mixed",2.40497032195501
1,"Monthly",1,"Mixed",0.926203118848896
1,"Monthly",7,"Mixed",1.27863869053092
1,"Monthly",35,"Mixed",2.32345202478955
1,"Daily",1,"Stratified",0.0233840698638837
1,"Daily",7,"Stratified",1.57669315023164
1,"Daily",35,"Stratified",3.13247557535039
1,"Weekly",1,"Stratified",1.22267064460729
1,"Weekly",7,"Stratified",1.52497854746451
1,"Weekly",35,"Stratified",2.79140921697382
1,"Fortnightly",1,"Stratified",1.3468637222099
1,"Fortnightly",7,"Stratified",1.51990221519013
1,"Fortnightly",35,"Stratified",2.659558692838
1,"Monthly",1,"Stratified",1.72090952472418
1,"Monthly",7,"Stratified",1.78880142325849
1,"Monthly",35,"Stratified",2.88518317351035
5,"Daily",1,"Mixed",0.00713090165919255
5,"Daily",7,"Mixed",1.0251730602132
5,"Daily",35,"Mixed",2.58827243656958
5,"Weekly",1,"Mixed",0.467297198586221
5,"Weekly",7,"Mixed",0.883555063764155
5,"Weekly",35,"Mixed",1.97138323399024
5,"Fortnightly",1,"Mixed",0.755494372105248
5,"Fortnightly",7,"Mixed",1.13251829871038
5,"Fortnightly",35,"Mixed",2.16292164862661
5,"Monthly",1,"Mixed",0.970956248578504
5,"Monthly",7,"Mixed",1.19281589697893
5,"Monthly",35,"Mixed",2.07515410610418
5,"Daily",1,"Stratified",0.0425364014473259
5,"Daily",7,"Stratified",1.42459277143359
5,"Daily",35,"Stratified",2.77799998507687
5,"Weekly",1,"Stratified",1.01523110369991
5,"Weekly",7,"Stratified",1.61607905210483
5,"Weekly",35,"Stratified",2.27168286165708
5,"Fortnightly",1,"Stratified",1.46966108259186
5,"Fortnightly",7,"Stratified",1.82416032532948
5,"Fortnightly",35,"Stratified",2.40684917470069
5,"Monthly",1,"Stratified",2.21468770974483
5,"Monthly",7,"Stratified",2.29292857585467
5,"Monthly",35,"Stratified",2.47494214297528
9,"Daily",1,"Mixed",0.00684947392576872
9,"Daily",7,"Mixed",1.00164524663094
9,"Daily",35,"Mixed",2.43246032113105
9,"Weekly",1,"Mixed",0.494220467626726
9,"Weekly",7,"Mixed",0.877996427686152
9,"Weekly",35,"Mixed",1.84197846602231
9,"Fortnightly",1,"Mixed",0.830715723386291
9,"Fortnightly",7,"Mixed",1.153826565882
9,"Fortnightly",35,"Mixed",2.09362793290819
9,"Monthly",1,"Mixed",1.02586444438233
9,"Monthly",7,"Mixed",1.20415172458158
9,"Monthly",35,"Mixed",1.98048544297497
9,"Daily",1,"Stratified",0.0122536249032648
9,"Daily",7,"Stratified",0.787039808251307
9,"Daily",35,"Stratified",1.01653667067336
9,"Weekly",1,"Stratified",0.847439482310722
9,"Weekly",7,"Stratified",1.21767149020983
9,"Weekly",35,"Stratified",1.70874636715129
9,"Fortnightly",1,"Stratified",1.06876578507615
9,"Fortnightly",7,"Stratified",1.1498960164205
9,"Fortnightly",35,"Stratified",1.09042441774198
9,"Monthly",1,"Stratified",1.58930470797768
9,"Monthly",7,"Stratified",1.81484117665627
9,"Monthly",35,"Stratified",1.40427510059667
