"Depth_m","model_id","TempDynamics","RMSE_C"
1,"Daily","Mixed",2.17605085916666
1,"Weekly","Mixed",1.59716690611726
1,"Fortnightly","Mixed",1.81957824945941
1,"Monthly","Mixed",1.77767212493421
1,"Daily","Stratified",2.5971385640861
1,"Weekly","Stratified",2.3368697131147
1,"Fortnightly","Stratified",2.21957091406454
1,"Monthly","Stratified",2.44343622314365
5,"Daily","Mixed",2.02459690274385
5,"Weekly","Mixed",1.50107639990296
5,"Fortnightly","Mixed",1.72517823699958
5,"Monthly","Mixed",1.64936655730763
5,"Daily","Stratified",2.13627578624446
5,"Weekly","Stratified",1.90680661522451
5,"Fortnightly","Stratified",2.03565678629736
5,"Monthly","Stratified",2.3194114423579
9,"Daily","Mixed",1.93643221947333
9,"Weekly","Mixed",1.47101290877639
9,"Fortnightly","Mixed",1.7058690919221
9,"Monthly","Mixed",1.6358555635031
9,"Daily","Stratified",0.950146145555374
9,"Weekly","Stratified",1.51948049296031
9,"Fortnightly","Stratified",1.11457775251723
9,"Monthly","Stratified",1.60079874710968
