"Horizon_days","DA","Comparison","Mixed_pvalue","Stratified_pvalue"
1,"daily","1 - 5",0.000575522104846957,7.04310255068758e-07
1,"daily","1 - 9",0.00237987563904725,1.06018515139365e-06
1,"daily","5 - 9",0.625376749587132,8.54255386886216e-23
1,"weekly","1 - 5",0.850822529333357,0.057420393914323
1,"weekly","1 - 9",1,2.83220335714099e-08
1,"weekly","5 - 9",1,0.000256127323163594
1,"fortnightly","1 - 5",0.829748948294139,0.885904514173655
1,"fortnightly","1 - 9",1,1.13142521431898e-17
1,"fortnightly","5 - 9",1,6.15181196456361e-18
1,"monthly","1 - 5",1,0.00638795952600398
1,"monthly","1 - 9",0.953103552410089,0.000319894461735877
1,"monthly","5 - 9",1,2.77973701236679e-10
7,"daily","1 - 5",0.326789436381156,0.00453460806295785
7,"daily","1 - 9",0.450958326139677,1.66571697701194e-35
7,"daily","5 - 9",0.964378814901214,9.16284386280567e-22
7,"weekly","1 - 5",0.536431918853369,0.152120386844159
7,"weekly","1 - 9",0.762015723158057,0.0356612472655223
7,"weekly","5 - 9",0.973280226425938,0.000456579715836391
7,"fortnightly","1 - 5",0.297136752244406,0.00675303619835435
7,"fortnightly","1 - 9",0.282329118977212,2.26022160687998e-17
7,"fortnightly","5 - 9",0.818480655318113,8.75476742340276e-29
7,"monthly","1 - 5",0.330931266930643,3.26790523455684e-05
7,"monthly","1 - 9",0.284529822440773,0.00115633836237345
7,"monthly","5 - 9",0.776821954814252,1.51825662737486e-13
35,"daily","1 - 5",0.0642894272411343,0.0496792793380324
35,"daily","1 - 9",0.0095842229044606,1.27825531683334e-42
35,"daily","5 - 9",0.414494849572666,1.18924087665075e-31
35,"weekly","1 - 5",0.167655262452281,0.296232606884886
35,"weekly","1 - 9",0.0877578419231655,2.37173563506504e-07
35,"weekly","5 - 9",0.647731015197317,3.23564484491282e-05
35,"fortnightly","1 - 5",0.152110693035044,0.944741140870954
35,"fortnightly","1 - 9",0.114900801665347,7.14256232417642e-31
35,"fortnightly","5 - 9",0.763131985246605,1.64828970363574e-30
35,"monthly","1 - 5",0.184556847484861,0.489578884860588
35,"monthly","1 - 9",0.119326171571184,1.74555527435972e-20
35,"monthly","5 - 9",0.705935268909968,8.26139061094113e-18
