"Depth_m","DA","Comparison","Mixed_pvalue","Stratified_pvalue"
1,"daily","1 - 35",4.8763528381901e-59,9.08721067779536e-106
1,"daily","1 - 7",2.20767416114005e-25,1.09142371133765e-52
1,"daily","35 - 7",4.99090403121659e-09,4.99554858065957e-11
1,"weekly","1 - 35",3.69285216814554e-33,3.87046401760931e-32
1,"weekly","1 - 7",2.76758809149169e-09,1.0625421532214e-05
1,"weekly","35 - 7",1.39297043644313e-09,1.39058007780741e-13
1,"fortnightly","1 - 35",1.42353949332417e-26,6.93616529124145e-24
1,"fortnightly","1 - 7",8.74975635587035e-07,0.00342015906154804
1,"fortnightly","35 - 7",8.61324719451504e-09,7.86564355597344e-13
1,"monthly","1 - 35",1.70401632139807e-18,9.28124627102632e-16
1,"monthly","1 - 7",8.44762849085923e-05,0.0717814187880178
1,"monthly","35 - 7",1.26083883022353e-06,3.80248560652433e-10
5,"daily","1 - 35",5.87293444434341e-55,1.07259534037477e-102
5,"daily","1 - 7",9.33970562583636e-27,2.14428398137252e-51
5,"daily","35 - 7",1.33174598930214e-06,1.18682653189551e-10
5,"weekly","1 - 35",3.27411512753123e-26,1.88740996329819e-39
5,"weekly","1 - 7",3.43865277725429e-08,1.66391257651215e-13
5,"weekly","35 - 7",5.44098102476068e-07,8.41818885990101e-09
5,"fortnightly","1 - 35",4.58815610940098e-17,9.01561148114852e-24
5,"fortnightly","1 - 7",0.000118529572765154,5.07006375177658e-07
5,"fortnightly","35 - 7",6.89344131122195e-06,5.61629311551127e-07
5,"monthly","1 - 35",1.93401917868244e-09,1.36726963071202e-05
5,"monthly","1 - 7",0.0223092051788303,0.0181080619519265
5,"monthly","35 - 7",0.000216073360562227,0.048361321634632
9,"daily","1 - 35",8.98175595687699e-56,1.77575745419493e-95
9,"daily","1 - 7",3.0116197462505e-28,1.7709272723274e-53
9,"daily","35 - 7",3.47521892701791e-06,9.02657708241875e-08
9,"weekly","1 - 35",5.70814920107338e-24,1.37745556152237e-75
9,"weekly","1 - 7",1.97886365751281e-07,1.52717093568281e-20
9,"weekly","35 - 7",1.34980256479846e-06,9.69639414268673e-20
9,"fortnightly","1 - 35",2.71892974105546e-15,7.13821689478665e-14
9,"fortnightly","1 - 7",0.000969012584495441,0.000170802469177191
9,"fortnightly","35 - 7",4.9718392560072e-06,0.000218057337569257
9,"monthly","1 - 35",3.6627260843892e-09,0.00078052231852263
9,"monthly","1 - 7",0.0341246277409408,0.0407922128521244
9,"monthly","35 - 7",0.000164653719786538,0.182515037601728
