"Depth_m","Comparison","Mixed_pvalue","Stratified_pvalue"
1,"Daily - Fortnightly",1,1
1,"Daily - Monthly",1,1
1,"Fortnightly - Monthly",0.909850032747285,1
1,"Daily - Weekly",1,1
1,"Fortnightly - Weekly",1,0.909850032747284
1,"Monthly - Weekly",1,1
5,"Daily - Fortnightly",1,1
5,"Daily - Monthly",1,1
5,"Fortnightly - Monthly",0.820847238541928,1
5,"Daily - Weekly",1,0.909850032747285
5,"Fortnightly - Weekly",1,1
5,"Monthly - Weekly",1,1
9,"Daily - Fortnightly",1,0.638838825466803
9,"Daily - Monthly",1,0.0394704816769582
9,"Fortnightly - Monthly",1,0.564126562082865
9,"Daily - Weekly",0.734095182319476,0.447146795144968
9,"Fortnightly - Weekly",1,0.650612963932754
9,"Monthly - Weekly",1,0.616359094934108
